MMSI,데이터수,최초_시간,최종_시간,최소_위도,최대_위도,최소_경도,최대_경도,평균_SOG,최대_SOG,최소_SOG,평균_COG,최대_COG,최소_COG
5Gc2/EAbK3c1z7SPKSImzg==,4796,2020-03-10 00:00:07,2020-03-10 23:59:54,34.8489716666667,91.0,127.67828,181.0,0.05097998331943286,102.3,0.0,80.78861551292744,360.0,0.0
5HsAIDKfA27eodeNCw9uCw==,257,2020-03-10 00:01:27,2020-03-10 23:57:27,37.0412983333333,37.041705,126.34216,126.342673333333,0.0,0.0,0.0,0.0,0.0,0.0
5I+GVa3Kn6k8w2skrMCz5Q==,4883,2020-03-10 14:19:47,2020-03-10 23:59:56,33.7628833333333,35.2516833333333,124.5666,126.563183333333,14.95963546999795,17.1,12.5,128.90968666803195,162.0,75.0
5InxBiEvK9TdZ5SALGo1dA==,501,2020-03-10 00:01:23,2020-03-10 23:58:26,34.77852,34.7813533333333,127.769951666667,127.77366,0.06806387225548903,0.7,0.0,170.40838323353296,358.6,6.9
5J1cJW8FszMuW3VULEChUQ==,7300,2020-03-10 00:13:19,2020-03-10 17:18:45,33.777795,35.4246383333333,125.082373333333,128.653743333333,14.349109589041095,16.8,9.2,290.3897260273973,359.5,0.1
5J9Lye5Nth158NhP8biocQ==,167,2020-03-10 12:51:01,2020-03-10 13:24:32,34.2985066666667,91.0,126.765646666667,181.0,37.66227544910179,102.3,0.1,268.5988023952096,360.0,216.0
5JEZaHNA/OLwyh1UluK1RQ==,1913,2020-03-10 05:40:07,2020-03-10 22:46:12,36.4457233333333,38.3889066666667,121.325666666667,123.918085,9.833821223209618,13.8,8.6,158.28123366440147,173.7,104.7
5JxhN7hOdoNWLo+Y4wEyQA==,8134,2020-03-10 00:00:07,2020-03-10 23:59:56,32.5777483333333,32.5812616666667,126.338338333333,126.347265,0.861790017211704,3.8,0.0,177.55558150971234,359.9,0.0
5LFIt1x0rZNXu5njA15/Cw==,135,2020-03-10 00:12:02,2020-03-10 23:45:01,37.0380433333333,37.0383483333333,126.692643333333,126.693001666667,0.0,0.0,0.0,0.0,0.0,0.0
5LGxBOdjh3BMNSmVx2cObw==,8537,2020-03-10 00:00:00,2020-03-10 23:59:52,35.19591,35.196915,126.141015,126.14237,0.23129905118894226,1.4,0.0,197.01270938268712,359.6,0.0
5Li5PPyfMWh95n4BJdPbXA==,3543,2020-03-10 00:15:56,2020-03-10 21:26:12,33.8246666666667,35.1898333333333,128.588166666667,130.069833333333,15.982528930285069,18.6,0.0,108.7496471916455,356.0,0.0
5MW68/k1tU47zPduxnDmAA==,32,2020-03-10 02:51:09,2020-03-10 04:31:32,36.3200216666667,36.3589666666667,129.385748333333,129.414928333333,6.121875,14.6,0.4,199.1875,351.8,6.8
5MYQswZt85Sl11HVPzRmTw==,1008,2020-03-10 00:00:06,2020-03-10 07:43:07,33.8969333333333,34.033,127.97405,129.836683333333,12.102876984126985,13.1,10.3,83.9295634920635,105.0,55.0
5MrywNvGT15WCaS6PpG3Xg==,93,2020-03-10 00:23:28,2020-03-10 23:56:01,33.1913333333333,33.247245,125.355285,125.383665,1.1881720430107527,3.5,0.0,162.2032258064516,356.6,0.0
5OL0YjysOGX/bL0OqJG+DQ==,2797,2020-03-10 00:00:18,2020-03-10 09:52:20,31.9325483333333,32.8224216666667,125.8998,127.554228333333,11.912870933142655,13.4,10.3,244.98820164461924,273.0,171.3
5OS5ai51mIoBzii8yCp/yw==,293,2020-03-10 07:15:56,2020-03-10 23:57:27,32.006715,32.0078866666667,125.286181666667,125.288696666667,1.682935153583618,8.1,0.1,6.877133105802048,7.0,6.0
5Op8EPJPYPtTCYW47R3tyQ==,428,2020-03-10 00:28:27,2020-03-10 09:14:46,34.783465,34.8095516666667,127.483961666667,127.515033333333,4.767757009345794,10.7,0.0,166.72219626168226,359.9,0.0
5PsRhU39/rcqiTi6qSZRRA==,2564,2020-03-10 00:00:47,2020-03-10 23:59:51,35.19384,35.19393,128.573291666667,128.573393333333,0.011778471138845555,0.3,0.0,290.9971918876755,316.8,220.8
5Rh/QpmrJ7IzY+sQuQiONg==,473,2020-03-10 05:43:33,2020-03-10 12:34:45,34.3685216666667,34.4197283333333,126.344373333333,126.367563333333,3.6928118393234675,18.5,0.0,209.0879492600423,358.5,0.0
5RzNvcVHl5eQ/gr4nHzPOg==,7533,2020-03-10 00:00:05,2020-03-10 23:59:57,35.4735083333333,35.4898916666667,129.425511666667,129.449646666667,0.22576662684189566,13.5,0.0,48.54682065578123,357.3,0.6
5S8AKrae4mf6ZLELCIRhvQ==,3766,2020-03-10 00:02:53,2020-03-10 23:59:59,36.160685,37.437995,125.86549,126.612925,12.56802973977695,17.0,0.0,218.01096654275094,360.0,73.1
5TZUmpG5FZ28ILlEAJUpIg==,3288,2020-03-10 00:00:09,2020-03-10 23:59:52,33.6643816666667,34.5165166666667,123.85246,124.142375,5.994616788321168,14.0,0.1,101.89291362530415,359.9,0.0
