MMSI,일시,위도,경도,SOG,COG,Heading,거리
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:57,35.5249533333333,129.444115,0.0,12.6,113,59.92940581469589
kJl4MWz6Ttpr4//b4b+ujA==,2020-03-10 00:00:57,35.0576966666667,128.997946666667,0.1,0.0,511,6.640858660081551
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:58,35.057665,128.998066666667,0.0,360.0,511,6.626766821158564
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:58,35.057665,128.998066666667,0.0,360.0,511,6.618328167854167
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:58,35.057665,128.998066666667,0.0,360.0,511,6.634345330708386
GIJ16soGSLqWaUHEyCTIaw==,2020-03-10 00:01:00,35.1126316666667,129.458381666667,5.7,218.9,222,36.158784755549696
pZgHcCQNxyoLdLOX4dhtFQ==,2020-03-10 00:01:00,35.09053,129.472206666667,0.9,25.1,145,37.29227813852806
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:01:00,35.0803766666667,129.00382,0.0,339.1,355,5.443172440168851
GIJ16soGSLqWaUHEyCTIaw==,2020-03-10 00:01:00,35.1126316666667,129.458381666667,5.7,218.9,222,36.17281887687648
pZgHcCQNxyoLdLOX4dhtFQ==,2020-03-10 00:01:00,35.09053,129.472206666667,0.9,25.1,145,37.305819817465945
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:01:00,35.0803766666667,129.00382,0.0,339.1,355,5.429240525407277
J9/C7dJeuSSHYKqz+eHZ4g==,2020-03-10 00:01:01,35.1318683333333,129.580685,1.2,181.9,162,47.476861342783245
4KdQUtyGiO2kQ5R9N3Ol4w==,2020-03-10 00:01:01,35.0976833333333,129.065683333333,0.0,61.9,0,1.535517183008583
re8aVtHSGuSR0ORXGufzkw==,2020-03-10 00:01:01,35.080395,129.003878333333,0.5,0.0,511,5.423910143345267
A4kYs/RcwLDyr3unfBEKtw==,2020-03-10 00:01:01,35.4399983333333,129.368346666667,0.0,260.2,22,48.28104990648251
tqw8sxkjzl4hK3OXFXSwZg==,2020-03-10 00:01:03,34.5667666666667,128.963,1.0,167.6,308,58.104806764235015
RAb8Gy1WlpJNld1OqrEHHQ==,2020-03-10 00:01:03,35.0828616666667,128.99309,0.0,222.3,511,6.399742724494807
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:01:03,35.0788366666667,128.99339,0.0,250.1,511,6.396709314792204
juA2dq+E82VLHPvupVGohg==,2020-03-10 00:01:03,35.1031233333333,129.059708333333,0.0,269.2,511,2.1500918906660273
CIua8RLUPGGA/95iwHa5FQ==,2020-03-10 00:01:03,35.0980383333333,129.064856666667,0.0,156.0,511,1.5683415605024746
KveWBFM4U1kc1gEy0XGjiA==,2020-03-10 00:01:05,35.4758466666667,129.40249,0.0,151.6,511,53.312134022468186
7p/lF50CFcWUPEpFZhJ7SQ==,2020-03-10 00:01:05,35.0662516666667,129.008998333333,0.0,360.0,328,5.324556416853327
